Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200600059257,6,10,27,1730,1,2,1,3.0,1.0,11.0,rue Vauban,M,0.0,0,540
200500057335,5,9,16,1700,1,2,1,1.0,1.0,55.0,"363, SAINT ANTOI (AVENUE",,,,130
200800062156,8,10,2,1805,1,2,1,2.0,4.0,117.0,PORTE DE CHAMPERRET,,,,750
200700042478,7,7,7,1555,1,1,1,1.0,6.0,312.0,"00,  PEYRONNET (AVENUE D",,,,240
201500023804,15,9,22,900,1,2,3,1.0,3.0,281.0,AVE DE VERDUN,M,4484130.0,-64440,330
201100020205,11,5,25,900,1,2,1,1.0,3.0,55.0,"120, AVE DE MONTOLIVET",,,,130
200900046605,9,10,14,345,3,1,1,1.0,7.0,147.0,,M,0.0,0,10
201600027177,16,10,23,1420,1,2,1,2.0,1.0,184.0,BRANDT (BOULEVARD WILLY),M,4728626.0,-221106,440
201200030070,12,4,9,1515,1,2,1,2.0,2.0,203.0,LES ROUGES TERRES,M,4961110.0,-160088,500
200900068368,9,10,22,1530,1,1,1,1.0,3.0,345.0,,M,0.0,0,890
200600070871,6,11,27,800,1,1,1,1.0,5.0,37.0,AUTOROUTE A6B,,,,940
201500033293,15,8,20,1050,1,1,6,8.0,7.0,414.0,RD 154E,M,4990719.0,110759,760
201300044172,13,9,4,740,1,2,1,1.0,3.0,58.0,PIERRE BROSSOLETTE (AV),,,,940
201500054944,15,6,14,2200,2,2,1,1.0,6.0,118.0,"253, RUE MARCADET",,,,750
200500047983,5,8,13,1830,1,1,1,1.0,1.0,368.0,,M,4948000.0,284200,600
200900047780,9,11,10,755,5,2,1,2.0,6.0,300.0,"244, GUITON   AVENUE JEA",,,,170
200700026180,7,5,7,900,1,2,3,8.0,1.0,527.0,4)  et rue du chaponnier,M,0.0,0,540
200800010892,8,2,11,950,1,2,1,1.0,4.0,112.0,QUAI DE BERCY,,,,750
201400047391,14,7,3,2140,3,1,1,1.0,3.0,78.0,AUTOROUTE A104,M,4896480.0,255435,930
200700047683,7,8,12,1815,1,1,1,1.0,6.0,420.0,,M,4989900.0,430600,80
200900024356,9,6,13,1125,1,1,1,1.0,1.0,415.0,ROCADE SUD,,,,170
201500032272,15,6,6,1155,1,2,1,1.0,6.0,482.0,"0, DRESDE (BOULEVARD DE)",M,4859918.0,776297,670
201100049023,11,9,20,1315,1,2,2,1.0,3.0,50.0,BLUM / 1945,,,,930
201100002867,11,10,16,100,3,2,1,1.0,6.0,382.0,le plessis,M,0.0,0,610
201500006688,15,11,10,1630,1,2,1,7.0,6.0,292.0,12 rue bernard laureau,M,4724109.0,521902,210
200600083458,6,12,6,315,5,1,1,1.0,6.0,127.0,,A,0.0,0,971
200500001404,5,1,8,1345,1,1,1,1.0,2.0,151.0,,M,4390900.0,719800,60
200500044537,5,7,22,1925,1,2,3,1.0,1.0,167.0,GUESDE (RUE JULES),,,,330
201200012729,12,7,3,30,3,1,1,1.0,6.0,701.0,,M,5057900.0,237600,620
200700016824,7,3,7,1145,1,2,1,1.0,3.0,586.0,CLEMENCEAU (G.) N°1 A 53,,,,780
200900054677,9,11,22,2345,3,1,1,6.0,1.0,151.0,,M,4.0,-,560
201200001110,12,12,25,1400,3,2,1,2.0,7.0,48.0,8 rue de l'hotellerie,M,4848079.0,-216378,220
200600021254,6,4,4,855,1,2,2,1.0,3.0,12.0,R DE BERCY PL LACHAMBEAU,,,,750
201200052092,12,2,9,1245,1,2,2,1.0,3.0,387.0,"0, RUE BANCEL",,,,690
200500030728,5,5,29,1955,1,2,1,1.0,3.0,621.0,DEPARTEMENTALE 912 (ROUT,,,,780
201500032764,15,4,6,1340,1,2,2,1.0,3.0,290.0,CITE BERLIET (DE LA),M,0.0,0,690
201500044019,15,12,4,1005,1,2,4,1.0,3.0,288.0,R DU DOCTEUR GOLDSTEIN,M,4898940.0,235690,950
201100016022,11,7,4,1240,1,2,1,1.0,2.0,88.0,"0, SAINT-SYLVESTRE (AV.",,,,60
201100039942,11,9,3,1050,1,2,1,1.0,1.0,282.0,CHEMIN DE CHASSIEU A MEY,,,,690
200600066307,6,11,28,1657,1,2,1,1.0,6.0,55.0,"40, EDOUARD DELANGLADE (",,,,130
201200037510,12,7,23,2330,5,1,6,1.0,7.0,108.0,RD POINT DES ROUGES TERR,M,4948296.0,113274,760
200900074550,9,12,7,45,3,1,1,1.0,1.0,9.0,RN2 SENS STE SUZANNE ST,,,,974
201100045978,11,5,30,1050,1,2,2,1.0,6.0,24.0,HUGO / LECLERC,M,4890080.0,231593,920
201400039409,14,11,8,1603,1,2,2,1.0,6.0,19.0,CLEMENT JEAN BAPTISTE (R,,,,920
200700026771,7,5,2,700,1,1,1,1.0,1.0,76.0,,M,0.0,0,280
201400012033,14,11,16,235,5,2,1,1.0,2.0,105.0,"145, DE GAULLE AVENUE",M,4977140.0,470882,80
200700041208,7,7,21,645,5,2,3,5.0,3.0,388.0,34 rue du 08 mai 1945,M,0.0,0,770
200800000675,8,1,23,2000,3,1,1,1.0,7.0,54.0,,M,0.0,0,760
200900074622,9,12,4,1945,3,1,1,1.0,6.0,13.0,ROUTE DEPARTEMENTALE 14,,,,972
200600077367,6,12,26,1750,3,1,3,2.0,1.0,224.0,RD 943,,,,620
201400010437,14,9,3,1130,1,2,1,1.0,6.0,29.0,"88, TONNER (AVENUE FRANC",,,,60
200900030605,9,6,13,825,1,2,1,1.0,6.0,205.0,"95, RTE ORLEANS",,,,180
201400028854,14,8,18,745,1,2,1,1.0,7.0,602.0,BD DE LA MANCHE,M,4964040.0,-157290,500
200800071601,8,12,17,1235,1,2,1,2.0,3.0,454.0,"03, ROMAINS (RUE)",,,,510
201500025616,15,9,8,1300,1,2,3,1.0,2.0,208.0,RUE DES CICOTTEES,M,0.0,0,370
201500007304,15,7,26,2100,2,2,2,8.0,3.0,310.0,rue des jardins,M,0.0,0,700
201600035744,16,3,30,2210,5,2,1,1.0,6.0,194.0,"24, REVOLUTION (AVENUE D",M,4658780.0,38066,860
201600019952,16,11,2,920,1,2,2,1.0,6.0,300.0,"48 bis, GUITON   AVENUE",M,4615944.0,-116416,170
201200031793,12,4,21,2230,5,2,1,1.0,2.0,616.0,FRANCE (RUE ANATOLE ),,,,590
201400031219,14,3,10,1520,1,2,2,1.0,3.0,599.0,PAPIN (CHAUSSEE DENIS),,,,590
200800011776,8,3,25,830,1,2,1,6.0,3.0,55.0,"13, REDON (BOULEVARD DU)",,,,130
200900038071,9,7,3,1000,1,2,2,1.0,3.0,602.0,RUE JEAN BOUIN/RUE DES C,M,4.0,-,500
200700017917,7,3,24,1055,1,1,1,1.0,6.0,36.0,AUTOROUTE A86,,,,920
200800026695,8,5,14,1530,1,1,1,1.0,7.0,570.0,RN 104,,,,910
201400016573,14,7,28,2250,5,2,1,1.0,6.0,117.0,ROUTE NATIONALE 113 - CA,,,,130
200900066314,9,10,3,540,5,2,2,1.0,6.0,28.0,"0, LAFERRIERE(AVENUE)",M,4.0,0,940
201500010366,15,7,26,1920,1,1,1,1.0,1.0,69.0,"141, KENNEDY (BOULEVARD",M,4366770.0,692903,60
200500014676,5,3,7,1205,1,2,1,1.0,2.0,31.0,DIX HUIT JUIN 1940 (AVEN,,,,190
201100012491,11,1,22,1345,1,1,1,1.0,5.0,139.0,"Lieu dit "" la ribaute""",M,4340220.0,323413,340
200900017406,9,7,6,1600,1,1,1,1.0,1.0,54.0,,M,0.0,0,730
201000049157,10,11,24,925,1,2,1,1.0,2.0,50.0,"208, AV FRANCOIS ARAGO",,,,920
201600004209,16,3,22,931,1,2,9,1.0,6.0,408.0,ROMANETTE (RUELLE),M,4954836.0,361491,20
201500011880,15,6,28,1200,1,1,1,1.0,6.0,88.0,LES PETITS ALLIERS LUCIA,M,4501720.0,508650,260
201600034125,16,11,6,1915,5,1,4,1.0,1.0,186.0,D606 X D142 TABLE DU ROI,M,4848371.0,266597,770
200500083914,5,12,1,2005,2,2,1,1.0,7.0,18.0,RESISTANCE (BOULEVARD DE,,,,950
200700019881,7,4,28,1900,1,1,1,1.0,1.0,149.0,,M,4324000.0,192000,110
200500036520,5,6,19,1500,1,2,2,1.0,3.0,40.0,"15 bis, ERNEST RENAN",,,,920
200700082634,7,5,25,1720,1,2,1,1.0,3.0,302.0,"544, BADUEL (ROUTE DE)",,,,973
200700019986,7,4,8,1100,1,2,1,1.0,1.0,232.0,venue du général LECLERC,M,0.0,0,910
201500013288,15,9,23,1730,1,2,1,1.0,6.0,5.0,"80, REPUBLIQUE (RUE DE L",M,4329025.0,557128,130
200700029113,7,5,11,2330,5,2,2,3.0,3.0,119.0,"1, MOULIN ( BOULEVARD JE",,,,620
201500013714,15,4,4,330,5,1,1,1.0,7.0,55.0,LAZARET (QUAI DU),,,,130
201000001253,10,10,20,1415,1,1,3,1.0,3.0,283.0,,M,4973600.0,134100,760
201600052986,16,2,8,1030,1,2,2,1.0,4.0,111.0,"100, BOULEVARD VOLTAIRE",M,4885980.0,237685,750
201600037573,16,11,5,1825,5,2,1,1.0,6.0,12.0,"204, GENERAL LECLERC (AV",,,,920
200500016243,5,3,25,840,1,2,1,1.0,6.0,181.0,"68, RHIN ET DANUBE (AV)",,,,720
201100008054,11,10,13,2230,3,1,9,1.0,6.0,194.0,,M,4520795.0,652275,730
201100007668,11,10,8,1100,1,1,1,3.0,1.0,386.0,,M,0.0,0,380
201500014069,15,2,3,1430,1,2,1,2.0,7.0,55.0,"11, RUE DE LA BOISERAIE",M,4329835.0,542138,130
200700032525,7,6,18,1700,1,1,1,1.0,5.0,36.0,lieu-dit mortefer,M,0.0,0,470
200700021137,7,4,16,1649,1,2,2,1.0,6.0,231.0,"27, CLEMENCEAU (BOULEVAR",,,,210
201300037082,13,12,16,1910,5,2,2,1.0,6.0,214.0,11 NOVEMBRE (AVENUE DU),,,,860
201100022053,11,11,15,1920,5,2,1,1.0,6.0,118.0,"202, BAYEUX (RUE DE  >=",,,,140
201600051896,16,7,13,1150,1,2,2,1.0,6.0,106.0,"8, BOULEVARD SAINT MICHE",M,4885280.0,234379,750
200800058798,8,10,24,1530,1,2,1,1.0,3.0,378.0,"38, EUROPE AVENUE DE L",,,,590
200700002439,7,1,5,1140,1,2,1,1.0,7.0,362.0,"sans n, DAUPHINE RUE",,,,260
201500023506,15,6,7,1657,1,2,1,1.0,3.0,522.0,13R.BONTEMPS AP. ZUBIETA,M,4480370.0,-57916,330
201000053856,10,8,2,1850,1,2,1,1.0,6.0,78.0,R DE PARIS,M,4873250.0,244682,940
200900053758,9,8,18,1850,1,2,1,1.0,6.0,2.0,CLOS DE L'ABBAYE (RUE DU,,,,920
201600018280,16,11,28,745,2,2,1,1.0,6.0,30.0,95 rue de Penlys,M,4744409.0,-223393,440
200500064844,5,10,15,1500,1,2,1,1.0,6.0,30.0,"11, CITE JARDIN (RUE)",,,,60
201200019489,12,7,5,1730,1,1,2,1.0,3.0,4.0,Rue des mejuteaux,M,4746523.0,-39968,490
