Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201000061008,2.0,2,4,1,0.0,21.0,0.0,0.0,0.0,1988.0,A01
201600003946,2.0,2,1,2,5.0,11.0,0.0,0.0,0.0,1984.0,A02
201000021095,1.0,1,1,1,0.0,93.0,0.0,0.0,0.0,1980.0,A01
201500036362,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1991.0,A01
201400051004,,3,3,1,5.0,93.0,1.0,3.0,1.0,1993.0,Z01
200700049283,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1967.0,B01
201400029318,3.0,2,4,1,0.0,31.0,0.0,0.0,0.0,2013.0,B01
200500034359,1.0,1,4,1,9.0,93.0,0.0,0.0,0.0,1992.0,A01
201000002797,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1948.0,B01
201000040158,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1938.0,A01
200600043628,0.0,3,3,1,5.0,0.0,0.0,0.0,0.0,1918.0,A01
201300021648,1.0,1,4,1,1.0,11.0,0.0,0.0,0.0,1974.0,A01
201000014765,2.0,2,3,2,0.0,11.0,0.0,0.0,0.0,1989.0,A01
200500078040,1.0,1,3,2,1.0,11.0,0.0,0.0,0.0,1958.0,B02
201200046803,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1974.0,A01
200700076977,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1956.0,A01
200800060981,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1961.0,B01
200700057408,2.0,2,1,1,0.0,21.0,0.0,0.0,0.0,1970.0,A01
200900007716,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1986.0,B01
200900061945,1.0,1,4,1,0.0,13.0,0.0,0.0,0.0,1965.0,A01
201500031158,2.0,2,1,2,0.0,11.0,0.0,0.0,0.0,1937.0,B01
201000032285,1.0,1,3,1,1.0,22.0,0.0,0.0,0.0,1992.0,B01
201300021333,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1964.0,B02
200900051200,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1979.0,C01
200900024049,2.0,2,3,2,0.0,21.0,0.0,0.0,0.0,1984.0,C03
201300044775,,3,4,1,5.0,93.0,2.0,3.0,1.0,1941.0,A01
201600005524,2.0,2,3,2,0.0,11.0,0.0,0.0,0.0,2016.0,A01
200700083814,1.0,1,1,1,9.0,11.0,0.0,0.0,0.0,1972.0,C01
201400001857,1.0,1,1,1,5.0,21.0,0.0,0.0,0.0,1959.0,D04
200700068835,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1928.0,A01
201400003650,1.0,1,3,1,0.0,1.0,0.0,0.0,0.0,1932.0,B02
200500039441,2.0,2,1,1,0.0,11.0,0.0,0.0,0.0,1991.0,A01
201100032714,3.0,2,4,2,5.0,11.0,0.0,0.0,0.0,2007.0,A01
200900063062,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1980.0,A01
201300033208,1.0,1,3,2,1.0,92.0,0.0,0.0,0.0,1981.0,B01
200900061859,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1967.0,A01
200600078159,2.0,2,4,1,0.0,21.0,0.0,0.0,0.0,1954.0,B01
200900014982,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1971.0,A01
200900026432,1.0,1,3,2,3.0,13.0,0.0,0.0,0.0,1943.0,A01
201200059696,1.0,1,3,2,9.0,11.0,0.0,0.0,0.0,1932.0,A01
201400034084,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1958.0,B01
200500042922,1.0,1,3,2,5.0,0.0,0.0,0.0,0.0,1999.0,B02
201400033107,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,2000.0,B01
201200050708,1.0,1,4,1,9.0,21.0,0.0,0.0,0.0,1956.0,A01
201000050252,1.0,1,4,1,4.0,13.0,0.0,0.0,0.0,1970.0,B01
201600027415,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1946.0,A01
200800034150,1.0,1,1,1,0.0,93.0,0.0,0.0,0.0,1978.0,B01
200800044749,1.0,1,4,2,5.0,12.0,0.0,0.0,0.0,1961.0,B01
201600048149,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1967.0,C01
200500032369,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1954.0,B01
201300026072,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1983.0,B01
201500036916,2.0,2,1,2,0.0,11.0,0.0,0.0,0.0,1952.0,B01
200900052390,1.0,1,3,1,0.0,21.0,0.0,0.0,0.0,1991.0,B01
200700047938,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,1989.0,B02
201500026587,,3,4,2,5.0,,5.0,2.0,1.0,1933.0,A01
201000045335,1.0,1,1,1,4.0,93.0,0.0,0.0,0.0,1967.0,A01
200500067431,1.0,1,1,1,4.0,93.0,0.0,0.0,0.0,1960.0,B01
