Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200900032962,4.0,0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,100.0,2.0,5.0,1.0,99.0
200600060880,4.0,0,0.0,,2.0,2.0,,,0.0,2.0,3.0,0.0,50.0,1.0,0.0,1.0,0.0
200800008910,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200900013362,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201100000983,3.0,200,,,3.0,4.0,38.0,600.0,0.0,1.0,1.0,10.0,128.0,1.0,0.0,1.0,0.0
201100017108,1.0,43,,,3.0,4.0,88.0,400.0,0.0,1.0,2.0,22.0,200.0,9.0,0.0,1.0,99.0
200800012545,9.0,0,0.0,,2.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
201300017711,3.0,958,,,2.0,2.0,43.0,0.0,0.0,1.0,1.0,0.0,60.0,5.0,0.0,1.0,0.0
200700016285,4.0,,0.0,,2.0,2.0,2009.0,54.0,0.0,1.0,1.0,0.0,60.0,2.0,0.0,1.0,0.0
201600049098,4.0,0,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,30.0,1.0,0.0,1.0,99.0
200700008689,4.0,0,0.0,,3.0,2.0,,,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
200900032971,4.0,0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
201600010530,4.0,0,,,2.0,2.0,,,0.0,1.0,2.0,0.0,110.0,1.0,0.0,1.0,99.0
201400007863,3.0,900,,,2.0,2.0,89.0,700.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201600046174,1.0,86,,,1.0,2.0,9.0,0.0,0.0,1.0,3.0,15.0,70.0,1.0,3.0,1.0,99.0
200800033949,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201100064456,4.0,0,,,1.0,4.0,34.0,400.0,0.0,1.0,1.0,15.0,140.0,1.0,0.0,1.0,0.0
200600059257,3.0,29,0.0,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,69.0,2.0,0.0,1.0,0.0
